WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.845172 -6.211544)",11.0,0.0,Provinsi DKI Jakarta,31.0,1.0,-6.211544,106.845172,1.0
"POINT (107.668887 -7.090911)",12.0,0.0,Provinsi Jawa Barat,32.0,1.0,-7.090911,107.668887,1.0
"POINT (110.1402594 -7.150975)",13.0,0.0,Provinsi Jawa Tengah,33.0,1.0,-7.150975,110.1402594,1.0
"POINT (110.4262088 -7.8753849)",14.0,0.0,Provinsi DI Yogyakarta,34.0,1.0,-7.8753849,110.4262088,1.0
"POINT (112.2384017 -7.5360639)",15.0,0.0,Provinsi Jawa Timur,35.0,1.0,-7.5360639,112.2384017,1.0
"POINT (106.0640179 -6.4058172)",16.0,0.0,Provinsi Banten,36.0,1.0,-6.4058172,106.0640179,1.0
